word1	word2	POS	SimLex999
old	new	A	1.58
smart	intelligent	A	9.2
hard	difficult	A	8.77
happy	cheerful	A	9.55
hard	easy	A	0.95
fast	rapid	A	8.75
happy	glad	A	9.17
short	long	A	1.23
stupid	dumb	A	9.58
weird	strange	A	8.93
wide	narrow	A	1.03
bad	awful	A	8.42
easy	difficult	A	0.58
bad	terrible	A	7.78
hard	simple	A	1.38
smart	dumb	A	0.55
insane	crazy	A	9.57
happy	mad	A	0.95
large	huge	A	9.47
hard	tough	A	8.05
new	fresh	A	6.83
sharp	dull	A	0.6
quick	rapid	A	9.7
dumb	foolish	A	6.67
wonderful	terrific	A	8.63
strange	odd	A	9.02
happy	angry	A	1.28
narrow	broad	A	1.18
simple	easy	A	9.4
old	fresh	A	0.87
apparent	obvious	A	8.47
inexpensive	cheap	A	8.72
nice	generous	A	5
weird	normal	A	0.72
weird	odd	A	9.2
bad	immoral	A	7.62
sad	funny	A	0.95
wonderful	great	A	8.05
guilty	ashamed	A	6.38
beautiful	wonderful	A	6.5
confident	sure	A	8.27
dumb	dense	A	7.27
large	big	A	9.55
nice	cruel	A	0.67
impatient	anxious	A	6.03
big	broad	A	6.73
strong	proud	A	3.17
unnecessary	necessary	A	0.63
restless	young	A	1.6
dumb	intelligent	A	0.75
bad	great	A	0.35
difficult	simple	A	0.87
necessary	important	A	7.37
bad	terrific	A	0.65
mad	glad	A	1.45
honest	guilty	A	1.18
easy	tough	A	0.52
easy	flexible	A	4.1
certain	sure	A	8.42
essential	necessary	A	8.97
different	normal	A	1.08
sly	clever	A	7.25
crucial	important	A	8.82
harsh	cruel	A	8.18
childish	foolish	A	5.5
scarce	rare	A	9.17
friendly	generous	A	5.9
fragile	frigid	A	2.38
long	narrow	A	3.57
big	heavy	A	6.18
rough	frigid	A	2.47
bizarre	strange	A	9.37
illegal	immoral	A	4.28
bad	guilty	A	4.2
modern	ancient	A	0.73
new	ancient	A	0.23
dull	funny	A	0.55
happy	young	A	2
easy	big	A	1.12
great	awful	A	1.17
tiny	huge	A	0.6
polite	proper	A	7.63
modest	ashamed	A	2.65
exotic	rare	A	8.05
dumb	clever	A	1.17
delightful	wonderful	A	8.65
noticeable	obvious	A	8.48
afraid	anxious	A	5.07
formal	proper	A	8.02
dreary	dull	A	8.25
delightful	cheerful	A	6.58
unhappy	mad	A	5.95
sad	terrible	A	5.4
sick	crazy	A	3.57
violent	angry	A	6.98
laden	heavy	A	5.9
dirty	cheap	A	1.6
elastic	flexible	A	7.78
hard	dense	A	5.9
recent	new	A	7.05
bold	proud	A	3.97
sly	strange	A	1.97
strange	sly	A	2.07
dumb	rare	A	0.48
sly	tough	A	0.58
terrific	mad	A	0.4
modest	flexible	A	0.98
fresh	wide	A	0.4
huge	dumb	A	0.48
large	flexible	A	0.48
dirty	narrow	A	0.3
wife	husband	N	2.3
book	text	N	6.35
groom	bride	N	3.17
night	day	N	1.88
south	north	N	2.2
plane	airport	N	3.65
uncle	aunt	N	5.5
horse	mare	N	8.33
bottom	top	N	0.7
friend	buddy	N	8.78
student	pupil	N	9.35
world	globe	N	6.67
leg	arm	N	2.88
plane	jet	N	8.1
woman	man	N	3.33
horse	colt	N	7.07
actress	actor	N	7.12
teacher	instructor	N	9.25
movie	film	N	8.87
bird	hawk	N	7.85
word	dictionary	N	3.68
money	salary	N	7.88
dog	cat	N	1.75
area	region	N	9.47
navy	army	N	6.43
book	literature	N	7.53
clothes	closet	N	3.27
sunset	sunrise	N	2.47
child	adult	N	2.98
cow	cattle	N	9.52
book	story	N	5.63
winter	summer	N	2.38
taxi	cab	N	9.2
tree	maple	N	5.53
bed	bedroom	N	3.4
roof	ceiling	N	7.58
disease	infection	N	7.15
arm	shoulder	N	4.85
sheep	lamb	N	8.42
lady	gentleman	N	3.42
boat	anchor	N	2.25
priest	monk	N	6.28
toe	finger	N	4.68
river	stream	N	7.3
anger	fury	N	8.73
date	calendar	N	4.42
sea	ocean	N	8.27
second	minute	N	4.62
hand	thumb	N	3.88
wood	log	N	7.3
mud	dirt	N	7.32
hallway	corridor	N	9.28
